city	count	latitude	longitude
Marion, IN	10	40.5587997	-85.6603775
Muskegon, MI	10	43.2342415	-86.2459335
Newark, OH	10	40.0602112	-82.4042587
Vienna, VA	10	38.9003716	-77.263649
Portsmouth, OH	10	38.7442589	-82.9932175
Bolingbrook, IL	10	41.6981888	-88.0805664
Marana, AZ	10	32.4605713	-111.2181091
Jacksonville Beach, FL	10	30.2887001	-81.3917923
North Bergen, NJ	10	40.7790108	-74.0269775
Pompano Beach, FL	10	26.2314491	-80.1252213
Rachel, NV	10	37.6446991	-115.7440033
La Crosse, WI	10	43.8126183	-91.2519226
Brentwood, CA	10	37.9340515	-121.6927185
Beaumont, TX	10	30.0861492	-94.1015778
Nampa, ID	10	43.5826111	-116.5696335
Green Valley, AZ	10	31.8814697	-110.9952316
Lafayette, LA	10	30.2203197	-92.0170517
Avondale, AZ	10	33.4404984	-112.3496628
Russellville, AR	10	35.2782898	-93.1348114
Vacaville, CA	10	38.3515282	-121.9932632
Waco, TX	10	31.5718193	-97.149498
Auburn, CA	10	38.8961983	-121.0788727
Duluth, GA	10	34.0033607	-84.1449585
Bullhead City, AZ	10	35.1257019	-114.5784378
North Las Vegas, NV	10	36.1996613	-115.1186676
Greeley, CO	10	40.4232712	-104.694458
Enfield, CT	10	41.9983482	-72.5743637
Council Bluffs, IA	10	41.2577515	-95.8512115
Georgetown, TX	10	30.6379108	-97.6770096
Pico Rivera, CA	10	33.9823418	-118.088028
Yorba Linda, CA	10	33.8911705	-117.8243179
Tyler, TX	10	32.3474693	-95.2942963
Deer Park, NY	10	40.7581482	-73.3277435
Rochester, MN	10	44.0193481	-92.4591522
Crystal Lake, IL	10	42.2452087	-88.3239822
Clearfield, UT	10	41.1138382	-112.0223083
Roseburg, OR	10	43.2108803	-123.3432312
New York City/Bronx, NY	10	42.9035988	-75.570137
Rocky Mount, NC	10	35.9488411	-77.7949905
Dublin, CA	10	37.7042313	-121.9163513
Redlands, CA	10	34.0552788	-117.182579
Lenexa, KS	10	38.9609718	-94.7405624
Plantation, FL	10	26.1273804	-80.2451477
Freehold, NJ	10	40.2585297	-74.2765121
Ashtabula, OH	10	41.8892708	-80.7867279
Onalaska, WI	10	43.8843307	-91.2213135
Hutchinson, KS	10	38.0572395	-97.9326706
Elizabeth, NJ	10	40.6635094	-74.2114563
Sierra Vista, AZ	10	31.5694199	-110.2746811
North Kingstown, RI	10	41.5868607	-71.4583664
McAllen, TX	10	26.2074203	-98.2293625
Clinton, MO	10	38.3668289	-93.775238
Slidell, LA	10	30.2757607	-89.7816162
Melbourne, FL	10	28.0794296	-80.6071777
Fredericksburg, VA	10	38.3008919	-77.459137
Folsom, CA	10	38.6817513	-121.1628265
Rocklin, CA	10	38.7900696	-121.2343979
Merced, CA	10	37.3012695	-120.4861984
Warren, MI	10	42.5111084	-83.0285187
Farmington, NM	10	36.7281418	-108.2056885
High Point, NC	10	35.9546814	-80.0050812
San Luis Obispo, CA	10	35.2855186	-120.6625214
Malibu, CA	10	34.0365181	-118.6879578
Manchester, NH	10	42.991169	-71.463089
Indiana, PA	10	40.65205	-79.0875473
Ashgrove, MO	10	37.31604	-93.584343
Elko, NV	10	40.8356781	-115.76754
Charlottesville, VA	10	38.0321312	-78.4775314
